TICKER,DATA,VOLUME,FECHAMENTO_AJUSTADO,ROIC,VALOR_MERCADO,EBIT_EV
ABEV3,7/31/2019,543606226,19.11,0.22271,3.20E+11,0.05508
ABEV3,8/31/2019,429769433,17.77,0.22271,2.94E+11,0.06
ABEV3,9/30/2019,417377914,18.28,0.22271,3.06E+11,0.05768
ABEV3,10/31/2019,356462523,16.5,0.20348,2.76E+11,0.06343
ABEV3,11/30/2019,149988134,17.14,0.20348,2.84E+11,0.06164
ABEV3,12/31/2019,329640660,17.73,0.20348,2.94E+11,0.05952
ABEV3,1/31/2020,374764093,16.95,0.20348,2.89E+11,0.06063
ABEV3,2/29/2020,657009389,13.81,0.23313,2.29E+11,0.07299
ABEV3,3/31/2020,332646234,11.32,0.23313,1.97E+11,0.08511
ABEV3,4/30/2020,405902576,10.77,0.23313,1.84E+11,0.09186
ABEV3,5/31/2020,574830230,11.85,0.1935,1.96E+11,0.08053
ABEV3,6/30/2020,497115480,13.43,0.1935,2.24E+11,0.07002
ABEV3,7/31/2020,951590858,13.2,0.16408,2.29E+11,0.06131
ABEV3,8/31/2020,479205558,11.69,0.16408,2.01E+11,0.07046
ABEV3,9/30/2020,299190139,11.91,0.16408,1.94E+11,0.07287
ABEV3,10/31/2020,575913272,11.56,0.16314,1.92E+11,0.07882
ABEV3,11/30/2020,589778910,13.27,0.16314,2.25E+11,0.06612
ABEV3,12/31/2020,307013521,14.86,0.16314,2.46E+11,0.06011
ABEV3,1/31/2021,353242142,14.35,0.16314,2.38E+11,0.06241
ABEV3,2/28/2021,480214562,13.31,0.1772,2.21E+11,0.0771
ABEV3,3/31/2021,224243803,14.52,0.1772,2.45E+11,0.06886
ABEV3,4/30/2021,445275320,14.19,0.1772,2.40E+11,0.07044
ABEV3,5/31/2021,180505657,17.04,0.17162,2.81E+11,0.06331
ABEV3,6/30/2021,496857024,16.21,0.17162,2.72E+11,0.06547
ABEV3,7/31/2021,402796124,15.8,0.19686,2.62E+11,0.07537
ABEV3,8/31/2021,477779157,16.24,0.19686,2.70E+11,0.07289
ABEV3,9/30/2021,606080064,14.53,0.19686,2.44E+11,0.08124
ABEV3,10/31/2021,759597878,16.13,0.19128,2.67E+11,0.07704
ABEV3,11/30/2021,876157115,15.25,0.19128,2.57E+11,0.08032
ABEV3,12/31/2021,182602739,14.76,0.19128,2.43E+11,0.08547
ABEV3,1/31/2022,319525831,14.33,0.19128,2.35E+11,0.0885
ABEV3,2/28/2022,649544279,14.55,0.18742,2.39E+11,0.07578
ABEV3,3/31/2022,366110538,14.74,0.18742,2.39E+11,0.07594
ABEV3,4/30/2022,384931858,13.9,0.18742,2.29E+11,0.07958
ABEV3,5/31/2022,397829855,13.59,0.20023,2.22E+11,0.08139
ABEV3,6/30/2022,306950014,12.83,0.20023,2.14E+11,0.08442
ABEV3,7/31/2022,610983756,14.29,0.18735,2.35E+11,0.07763
ABEV3,8/31/2022,349093991,14.62,0.18735,2.42E+11,0.07518
ABEV3,9/30/2022,438253002,14.88,0.18735,2.46E+11,0.07407
ABEV3,10/31/2022,425517064,15.32,0.17862,2.48E+11,0.07466
ABEV3,11/30/2022,522706612,15.24,0.17862,2.48E+11,0.07471
ABEV3,12/31/2022,324260407,14.52,0.17862,2.29E+11,0.08157
ABEV3,1/31/2023,485072942,13.66,0.17862,2.13E+11,0.08803
ABEV3,2/28/2023,529038272,13.39,0.17862,2.11E+11,0.08895
ABEV3,3/31/2023,981523952,14.33,0.21027,2.33E+11,0.07961
ABEV3,4/30/2023,310183222,14.16,0.21027,2.23E+11,0.08353
ABEV3,5/31/2023,591488498,14.41,0.21065,2.28E+11,0.08377
ABEV3,6/30/2023,281284758,15.41,0.21065,2.40E+11,0.07954
ABEV3,7/31/2023,251798739,14.86,0.21065,2.36E+11,0.08097
ABEV3,8/31/2023,625580339,13.84,0.21158,2.23E+11,0.08273
ABEV3,9/30/2023,299893628,13.11,0.21158,2.07E+11,0.08977
ABEV3,10/18/2023,184576494,12.49,0.21158,2.02E+11,0.09204
AERI3,11/30/2020,9806611,6.63,0.154,4150686395,0.04334
AERI3,12/31/2020,57963298,9.97,0.154,6158288420,0.03091
AERI3,1/31/2021,64668435,11.8,0.154,7291413489,0.0266
AERI3,2/28/2021,58224942,10.15,0.09414,7807715117,0.02486
AERI3,3/31/2021,32102997,8.81,0.09414,6826961893,0.0282
AERI3,4/30/2021,71019198,8.97,0.09414,6911245373,0.02788
AERI3,5/31/2021,59294698,9.47,0.08874,6972542450,0.02966
AERI3,6/30/2021,31345909,9.89,0.08874,7455256927,0.02789
AERI3,7/31/2021,59667811,8.72,0.08874,6704367740,0.03074
AERI3,8/31/2021,12204871,7.97,0.10159,6168018321,0.03218
AERI3,9/30/2021,31417728,7.96,0.10159,5700628113,0.03456
AERI3,10/31/2021,12675940,7.85,0.10159,6037762033,0.03281
AERI3,11/30/2021,27306319,7.82,0.07811,5731276651,0.02984
AERI3,12/31/2021,19550920,6.53,0.07811,5018698137,0.03367
AERI3,1/31/2022,25391929,6.43,0.07811,4635591409,0.03616
AERI3,2/28/2022,23586180,5.66,0.0806,4352092430,0.04227
AERI3,3/31/2022,11402970,5.8,0.0806,4543645794,0.04069
AERI3,4/30/2022,11565634,4.88,0.0806,3739121665,0.04829
AERI3,5/31/2022,4993656,3.56,0.07664,2781354845,0.05616
AERI3,6/30/2022,5724037,2.8,0.07664,2183708350,0.06768
AERI3,7/31/2022,9768970,3,0.07664,2298640368,0.06511
AERI3,8/31/2022,9725666,2.32,0.07874,1792939487,0.08033
AERI3,9/30/2022,9699830,2.01,0.07874,1494116239,0.09081
AERI3,10/31/2022,15719468,1.85,0.07874,1333211413,0.09767
AERI3,11/30/2022,18915671,1.44,0.08325,1126333780,0.11102
AERI3,12/31/2022,11788326,1.13,0.08325,865821205,0.12929
AERI3,1/31/2023,10061511,1.59,0.08325,1133995915,0.11056
AERI3,2/28/2023,10385172,1.33,0.08495,988415358,0.12243
AERI3,3/31/2023,4451127,1.18,0.08495,919456147,0.12748
AERI3,4/30/2023,6921075,1.57,0.08495,1202955126,0.10902
AERI3,5/31/2023,4003597,1.49,0.10304,1156982319,0.11891
AERI3,6/30/2023,12382087,1.33,0.10304,957766820,0.1311
AERI3,7/31/2023,4194634,1.2,0.10304,911794013,0.13428
AERI3,8/31/2023,8788700,0.95,0.11314,758551321,0.16372
AERI3,9/30/2023,4957135,0.83,0.11314,635957168,0.17647
AERI3,10/18/2023,2624100,0.77,0.11314,612970765,0.17908
AESB3,3/31/2022,9675760,11.91,0.07547,6038146694,0.01757
AESB3,4/30/2022,38200620,10.93,0.07547,5437776770,0.01863
AESB3,5/31/2022,33484353,10.79,0.08563,5250776302,0.03778
AESB3,6/30/2022,13338691,10.55,0.08563,5290144821,0.03763
AESB3,7/31/2022,16346544,10.64,0.08563,5290144821,0.03763
AESB3,8/31/2022,25259980,9.7,0.07349,4748827677,0.03669
AESB3,9/30/2022,32418944,9.42,0.07349,4611037858,0.03725
AESB3,10/31/2022,25004097,9.9,0.07349,4773433002,0.0366
AESB3,11/30/2022,19256449,10.45,0.03849,5112986483,0.05851
AESB3,12/31/2022,17072321,9.66,0.03849,4753748742,0.0608
AESB3,1/31/2023,22539683,10.1,0.03849,4891538560,0.0599
AESB3,2/28/2023,29582045,9.92,0.03849,4886617495,0.05993
AESB3,3/31/2023,25402336,9.94,0.02794,5989176744,0.03647
AESB3,4/30/2023,33999737,10.68,0.02794,6428583681,0.03566
AESB3,5/31/2023,49695674,12.18,0.03845,7397686652,0.0502
AESB3,6/30/2023,32075458,12.25,0.03845,7337493921,0.0504
AESB3,7/31/2023,57981967,11.88,0.03845,7030510992,0.05143
AESB3,8/31/2023,31617253,11.04,0.04286,6681393152,0.05653
AESB3,9/30/2023,25011194,10.91,0.04286,6567026963,0.05696
AESB3,10/18/2023,38941948,10.57,0.04286,6308198219,0.05797
AGXY3,7/31/2021,7711243,8.68,0.16784,1260684036,0.11295
AGXY3,8/31/2021,413749,6.99,0.06859,1075741286,0.02788
AGXY3,9/30/2021,1568353,8.31,0.06859,1287982134,0.02503
AGXY3,10/31/2021,169575,6.85,0.06859,1019046812,0.02875
